TaxonId,SwedishName,ScientificName,TLS_CITES,TLS_Bern,TLS_Bonn,TLS_FD1,TLS_Prio,TLS_Fridlyst,TLS_HD2,TLS_HD2P,TLS_HD4,TLS_HD5,TLS_IAS_Union_EU
221835,,Stachys sylvatica,,,,,,,,,,,
221852,,Utricularia intermedia,,,,,,,,,,,
221870,,Verbascum thapsus,,,,,,,,,,,
221887,,Veronica chamaedrys,,,,,,,,,,,
221893,,Veronica longifolia,,,,,,,,,,,
221895,,Veronica officinalis,,,,,,,,,,,
221901,,Veronica scutellata,,,,,,,,,,,
221945,,Lycopodium annotinum,,,,,,Ja,,,,Ja,
221955,,Andromeda polifolia,,,,,,,,,,,
221980,,Hypericum perforatum,,,,,,,,,,,
221987,,Mercurialis perennis,,,,,,,,,,,
222023,,Helianthus annuus,,,,,,,,,,,Ja
222025,,Knautia arvensis,,,,,,,,,,,
222087,,Lythrum salicaria,,,,,,,,,,,
222092,,Oenothera biennis,,,,,,,,,,,
222103,,Oenothera muricata,,,,,,,,,,,Ja
222119,,Oxalis acetosella,,,,,,,,,,,
222125,,Oxalis stricta,,,,,,,,,,,Ja
222163,,Pinus sylvestris,,,,,,,,,,,
222171,,Thuja plicata,,,,,,,,,,,Ja
222185,,Aegopodium podagraria,,,,,,,,,,,
222292,,Carex canescens,,,,,,,,,,,
222295,,Carex caryophyllea,,,,,,,,,,,
222298,,Carex demissa,,,,,,,,,,,
222301,,Carex dioica,,,,,,,,,,,
222307,,Carex elata,,,,,,,,,,,
222308,,Carex elongata,,,,,,,,,,,
222309,,Carex ericetorum,,,,,,,,,,,
222322,,Carex hostiana,,,,,,,,,,,
222326,,Carex lasiocarpa,,,,,,,,,,,
222338,,Carex montana,,,,,,,,,,,
222341,,Carex nigra,,,,,,,,,,,
222352,,Carex panicea,,,,,,,,,,,
222358,,Carex pilulifera,,,,,,,,,,,
222361,,Carex pulicaris,,,,,,,,,,,
222364,,Carex remota,,,,,,,,,,,
222367,,Carex rostrata,,,,,,,,,,,
222382,,Carex oederi,,,,,,,,,,,
222412,,Daphne mezereum,,,,,,,,,,,
222432,,Eleocharis multicaulis,,,,,,,,,,,
222433,,Eleocharis palustris,,,,,,,,,,,
222464,,Eriophorum angustifolium,,,,,,,,,,,
222498,,Hepatica nobilis,,,,,,Ja,,,,,
222524,,Juncus articulatus,,,,,,,,,,,
222527,,Juncus bulbosus,,,,,,,,,,,
222531,,Juncus conglomeratus,,,,,,,,,,,
222532,,Juncus effusus,,,,,,,,,,,
222534,,Juncus filiformis,,,,,,,,,,,
222569,,Luzula campestris,,,,,,,,,,,
222577,,Luzula pilosa,,,,,,,,,,,
222592,,Narthecium ossifragum,,,,,,,,,,,
222659,,Schoenoplectus lacustris,,,,,,,,,,,
222703,,Trichophorum cespitosum,,,,,,,,,,,
222736,,Athyrium filix-femina,,,,,,,,,,,
222782,,Anemone nemorosa,,,,,,,,,,,
222790,,Aquilegia vulgaris,,,,,,,,,,,
222812,,Convallaria majalis,,,,,,,,,,,
222823,,Corylus avellana,,,,,,,,,,,
222857,,Maianthemum bifolium,,,,,,,,,,,
222859,,Myrica gale,,,,,,,,,,,
222869,,Papaver dubium,,,,,,,,,,,
222886,,Pulsatilla vulgaris,,,,,,Ja,,,,,
222917,,Ranunculus repens,,,,,,,,,,,
222918,,Ranunculus reptans,,,,,,,,,,,
222947,,Alchemilla micans,,,,,,,,,,,
222978,,Aruncus dioicus,,,,,,,,,,,Ja
223026,,Filipendula ulmaria,,,,,,,,,,,
223027,,Filipendula vulgaris,,,,,,,,,,,
223030,,Fragaria vesca,,,,,,,,,,,
223038,,Geum urbanum,,,,,,,,,,,
223049,,Paris quadrifolia,,,,,,,,,,,
223057,,Potentilla erecta,,,,,,,,,,,
223086,,Prunus spinosa,,,,,,,,,,,
223122,,Rosa sherardii,,,,,,,,,,,
223156,,Rubus idaeus,,,,,,,,,,,
223246,,Ulmus glabra,,,,,,,,,,,
223284,,Salix caprea,,,,,,,,,,,
223356,,Phedimus spurius,,,,,,,,,,,Ja
223358,,Phegopteris connectilis,,,,,,,,,,,
223368,,Ribes rubrum,,,,,,,,,,,
223397,,Sedum acre,,,,,,,,,,,
223398,,Sedum album,,,,,,,,,,,
223504,,Lysichiton americanus × camtschatcensis,,,,,,,,,,,
